customer_id,customer_name,age,city,email,account_type,account_balance,credit_score
1,Pooja Pawar,46,Satara,poojapawar670587@gmail.com,Salary,17204.78,596
2,Priya Sharma,23,Aurangabad,priyasharma116839@gmail.com,Savings,38886.74,706
3,Neha Khan,24,Aurangabad,nehakhan26325@gmail.com,Savings,31382.22,574
4,Simran Khan,31,Thane,simrankhan777672@gmail.com,Current,2261.68,740
5,Amit Verma,67,Aurangabad,amitverma288489@gmail.com,Salary,29066.72,763
6,Ayesha Pawar,57,Thane,ayeshapawar256887@gmail.com,Current,12749.17,571
7,Akash Sharma,48,Solapur,akashsharma234153@gmail.com,Savings,7779.99,606
8,Kavya Shaikh,31,Thane,kavyashaikh146416@gmail.com,Savings,32316.84,769
9,Ayesha Khan,22,Nagpur,ayeshakhan772346@gmail.com,Current,23754.84,719
10,Sahil Jadhav,60,Thane,sahiljadhav107573@gmail.com,Current,4526.68,731
11,Sneha Singh,63,Thane,snehasingh709670@gmail.com,Current,19713.81,594
12,Kavya Shaikh,45,Aurangabad,kavyashaikh776746@gmail.com,Salary,48089.21,689
13,Rahul Joshi,26,Satara,rahuljoshi935618@gmail.com,Current,15243.74,799
14,Sneha Pawar,37,Ahmednagar,snehapawar571958@gmail.com,Savings,17947.46,801
15,Ananya Shaikh,20,Kolhapur,ananyashaikh91261@gmail.com,Current,8487.52,678
16,Kavya Joshi,27,Kolhapur,kavyajoshi619276@gmail.com,Salary,12067.44,764
17,Kavya Joshi,36,Pune,kavyajoshi442517@gmail.com,Salary,24884.1,571
18,Vijay Pawar,57,Solapur,vijaypawar33426@gmail.com,Savings,,806
19,Simran Patil,28,Nagpur,simranpatil31344@gmail.com,Savings,26598.6,731
20,Mohit Shaikh,64,Satara,mohitshaikh98346@gmail.com,Salary,20413.18,690
21,Aditya Singh,63,Pune,adityasingh229358@gmail.com,,36028.43,711
22,Ayesha Jadhav,42,Nagpur,ayeshajadhav244062@gmail.com,Salary,6189.07,836
23,Kavya Khan,58,Ahmednagar,kavyakhan530003@gmail.com,Savings,47313.66,704
24,Sneha Sharma,25,Nagpur,snehasharma631362@gmail.com,Salary,31375.17,840
25,Simran Pawar,21,Aurangabad,simranpawar27924@gmail.com,Salary,37209.81,783
26,Amit Verma,58,Thane,amitverma588608@gmail.com,Savings,14252.45,586
27,Pooja Jadhav,42,Solapur,poojajadhav208596@gmail.com,Savings,19499.35,754
28,Simran Pawar,49,Aurangabad,simranpawar750900@gmail.com,Current,20881.1,590
29,Kavya Jadhav,59,Pune,kavyajadhav681553@gmail.com,Savings,22970.51,709
30,Priya Singh,44,Thane,priyasingh735492@gmail.com,Savings,33030.63,706
31,Kavya Khan,38,Thane,kavyakhan571512@gmail.com,Savings,35871.78,826
32,Ananya Patil,41,Solapur,ananyapatil439998@gmail.com,Salary,6019.74,611
33,Pooja Verma,19,Satara,poojaverma231248@gmail.com,Savings,34285.07,730
34,Aditya Jadhav,53,Kolhapur,adityajadhav471129@gmail.com,Salary,42328.62,625
35,Kavya Pawar,38,Ahmednagar,kavyapawar617989@gmail.com,Savings,43278.55,673
36,Riya Joshi,64,Thane,riyajoshi291804@gmail.com,Salary,38055.65,818
37,Ananya Pawar,70,Aurangabad,ananyapawar848849@gmail.com,Salary,32233.12,601
38,Aditya Singh,25,Nagpur,adityasingh911627@gmail.com,Salary,19561.95,822
39,Neha Joshi,55,Nashik,nehajoshi6914@gmail.com,Savings,35616.51,734
40,Pooja Sharma,62,Ahmednagar,poojasharma795767@gmail.com,Salary,20894.47,626
41,Ananya Jadhav,34,,ananyajadhav845062@gmail.com,Current,2940.75,626
42,Aditya Gupta,41,Satara,adityagupta167514@gmail.com,Savings,40514.86,551
43,Sahil Jadhav,32,Satara,sahiljadhav732152@gmail.com,Savings,12052.88,599
44,Karan Khan,56,Satara,karankhan443243@gmail.com,Savings,1402.49,688
45,Ananya Joshi,28,Pune,ananyajoshi356878@gmail.com,Salary,18809.12,713
46,Mohit Sharma,49,Pune,mohitsharma291469@gmail.com,Savings,22287.11,613
47,Isha Patil,53,Kolhapur,ishapatil163132@gmail.com,Salary,10361.18,625
48,Aditya Shaikh,27,Thane,adityashaikh225872@gmail.com,Current,35403.68,620
49,Sahil Verma,66,Kolhapur,sahilverma800681@gmail.com,Salary,22991.22,847
50,Isha Singh,35,Satara,ishasingh353044@gmail.com,Salary,46620.88,728
51,Amit Verma,41,Thane,amitverma107275@gmail.com,Salary,9693.6,760
52,Kavya Jadhav,50,Solapur,kavyajadhav97351@gmail.com,Current,29595.28,753
53,Ananya Joshi,20,Thane,ananyajoshi398482@gmail.com,Salary,32598.35,603
54,Sneha Jadhav,42,Mumbai,snehajadhav101514@gmail.com,Salary,46713.03,638
55,Rahul Joshi,53,Thane,rahuljoshi376517@gmail.com,Current,37670.77,603
56,Aditya Verma,38,Kolhapur,adityaverma888762@gmail.com,Savings,18286.92,590
57,Simran Pawar,28,Thane,simranpawar360763@gmail.com,,26175.18,590
58,Simran Sharma,50,Mumbai,simransharma633152@gmail.com,Savings,-13926.43,714
59,Pooja Sharma,22,Pune,poojasharma277470@gmail.com,Current,24637.09,748
60,Sneha Gupta,61,Nashik,snehagupta846435@gmail.com,Salary,27848.25,550
61,Akash Singh,41,Nashik,akashsingh45661@gmail.com,Savings,15397.4,640
62,Kavya Pawar,32,Mumbai,kavyapawar765279@gmail.com,Salary,14107.06,588
63,Karan Sharma,21,Aurangabad,karansharma481841@gmail.com,,27432.83,838
64,Vijay Jadhav,46,Aurangabad,vijayjadhav562375@gmail.com,Savings,37899.03,781
65,Kavya Verma,59,Aurangabad,kavyaverma130989@gmail.com,Salary,32356.45,644
66,Arjun Sharma,58,Mumbai,arjunsharma967196@gmail.com,Savings,46837.28,705
67,Aditya Joshi,35,Ahmednagar,adityajoshi397022@gmail.com,Current,17586.67,556
68,Ananya Pawar,51,Aurangabad,ananyapawar82727@gmail.com,Salary,38538.39,666
69,Priya Khan,34,Nagpur,priyakhan578956@gmail.com,Current,45610.51,720
70,Neha Khan,36,Solapur,nehakhan307519@gmail.com,Salary,25127.73,746
71,Riya Jadhav,52,Thane,riyajadhav869793@gmail.com,Salary,49939.25,608
72,Rohan Patil,57,Kolhapur,rohanpatil659276@gmail.com,Salary,46162.8,678
73,Aditya Pawar,63,Mumbai,adityapawar648664@gmail.com,Savings,16036.52,585
74,Simran Pawar,50,Aurangabad,simranpawar928563@gmail.com,Salary,8003.8,658
75,Ayesha Shaikh,31,Satara,ayeshashaikh903665@gmail.com,Current,49249.51,797
76,Rahul Sharma,47,Kolhapur,rahulsharma379301@gmail.com,Salary,2496.06,815
77,Amit Singh,22,Ahmednagar,amitsingh605497@gmail.com,Salary,46872.14,803
78,Sneha Joshi,36,Ahmednagar,snehajoshi201729@gmail.com,Current,17909.28,844
79,Pooja Pawar,24,Nagpur,poojapawar738897@gmail.com,Salary,3958.1,799
80,Sneha Sharma,27,Solapur,snehasharma73033@gmail.com,Savings,48187.06,570
81,Isha Sharma,57,Solapur,ishasharma48150@gmail.com,Current,28989.13,762
82,Isha Joshi,45,Mumbai,ishajoshi693484@gmail.com,Salary,9180.7,830
83,Isha Joshi,64,Thane,ishajoshi239068@gmail.com,Savings,25166.99,721
84,Aditya Khan,53,Kolhapur,adityakhan810720@gmail.com,Current,27757.29,760
85,Isha Khan,53,Ahmednagar,ishakhan303545@gmail.com,Savings,26141.24,657
86,Rahul Shaikh,30,Aurangabad,rahulshaikh83767@gmail.com,Current,18737.85,750
87,Ayesha Singh,54,Thane,ayeshasingh896965@gmail.com,Savings,17850.42,654
88,Sahil Verma,65,Solapur,sahilverma244198@gmail.com,Savings,45350.4,570
89,Neha Patil,49,Solapur,nehapatil908673@gmail.com,Savings,26504.82,775
90,Sneha Shaikh,56,Pune,snehashaikh106007@gmail.com,Current,25441.99,762
91,Pooja Shaikh,63,Kolhapur,poojashaikh398691@gmail.com,Savings,14339.99,734
92,Akash Jadhav,43,Mumbai,akashjadhav291576@gmail.com,Salary,,607
93,Isha Khan,31,Aurangabad,ishakhan475535@gmail.com,Salary,25062.37,729
94,Isha Gupta,70,Nagpur,ishagupta666663@gmail.com,Current,38475.05,626
95,Karan Shaikh,22,Nagpur,karanshaikh874728@gmail.com,Salary,22405.56,790
96,Simran Patil,34,Satara,simranpatil382654@gmail.com,Savings,23466.63,795
97,Priya Khan,66,Kolhapur,priyakhan170655@gmail.com,Savings,40802.52,831
98,Priya Patil,62,Pune,priyapatil388262@gmail.com,Current,42907.28,784
99,Amit Jadhav,44,Aurangabad,amitjadhav372628@gmail.com,Current,19986.86,771
100,Mohit Pawar,38,Solapur,mohitpawar219784@gmail.com,Salary,22398.05,832
101,Arjun Shaikh,62,Satara,arjunshaikh702829@gmail.com,Salary,2159.82,576
102,Vijay Singh,33,Solapur,vijaysingh280046@gmail.com,Savings,42966.92,666
103,Sahil Khan,32,Pune,sahilkhan736011@gmail.com,Salary,15729.81,690
104,Karan Khan,38,Satara,karankhan982253@gmail.com,Savings,48814.9,792
105,Mohit Sharma,48,Nagpur,mohitsharma716851@gmail.com,Current,4727.63,790
106,Rohan Khan,62,Nagpur,rohankhan679614@gmail.com,Current,48964.72,847
107,Kavya Patil,44,Mumbai,kavyapatil74970@gmail.com,Current,9282.55,795
108,Ayesha Patil,32,Mumbai,ayeshapatil638820@gmail.com,Current,15509.06,702
